
День 14, ошибка: KillError
День 17, ошибка: KillError
День 32, ошибка: DepressionError
День 44, ошибка: GluttonyError
День 45, ошибка: KillError
День 49, ошибка: DepressionError
День 50, ошибка: DrunkEror
День 59, ошибка: KillError
День 60, ошибка: KillError
День 68, ошибка: DepressionError
День 86, ошибка: CarCrashError
День 99, ошибка: DepressionError
День 114, ошибка: DrunkEror
День 132, ошибка: DrunkEror
День 10, ошибка: GluttonyError
День 43, ошибка: GluttonyError
День 46, ошибка: DrunkEror
День 47, ошибка: DepressionError
День 55, ошибка: GluttonyError
День 72, ошибка: KillError
День 74, ошибка: GluttonyError
День 84, ошибка: KillError
День 88, ошибка: KillError
День 109, ошибка: GluttonyError
День 110, ошибка: CarCrashError
День 114, ошибка: GluttonyError
День 123, ошибка: GluttonyError
День 126, ошибка: DrunkEror
День 132, ошибка: DrunkEror
День 138, ошибка: GluttonyError
